V,H,S,M
0.338156758,0,1,1
0.320241334,0.181818182,1,1
0.287008750,0.272727273,1,1
0.256283622,0.454545455,1,1
0.262839599,0.545454545,1,1
0.240966463,0.727272727,1,1
0.254410486,0.818181818,1,1
0.234924175,1,1,1
0.353473918,0,4,1
0.335347054,0.181818182,4,1
0.335347054,0.272727273,4,1
0.330029894,0.454545455,4,1
0.335347054,0.545454545,4,1
0.305135614,0.727272727,4,1
0.256283622,0.818181818,4,1
0.235649303,1,4,1
0.315347054,0,2,1
0.283987607,0.181818182,2,1
0.303262478,0.272727273,2,1
0.274924175,0.454545455,2,1
0.260029894,0.545454545,2,1
0.259818455,0.727272727,2,1
0.283987607,0.818181818,2,1
0.265860743,1,2,1
0.323051038,0,5,1
0.305135614,0.181818182,5,1
0.314199046,0.272727273,5,1
0.302114470,0.454545455,5,1
0.323262478,0.545454545,5,1
0.314199046,0.727272727,5,1
0.323262478,0.818181818,5,1
0.274199046,1,5,1
0.347431630,0,3,1
0.341691591,0.181818182,3,1
0.296072182,0.272727273,3,1
0.310398761,0.454545455,3,1
0.296072182,0.545454545,3,1
0.317431630,0.727272727,3,1
0.329304766,0.818181818,3,1
0.308156758,1,3,1
0.338368198,0,6,1
0.295014984,0.181818182,6,1
0.271993840,0.272727273,6,1
0.271903031,0.454545455,6,1
0.292205280,0.545454545,6,1
0.285347054,0.727272727,6,1
0.302114470,0.909090909,6,1
0.999998728,0,1,2
0.999998728,0.090909091,1,2
0.999998728,0.272727273,1,2
0.906343265,0.363636364,1,2
0.658609459,0.545454545,1,2
0.610271155,0.636363636,1,2
0.453171669,0.818181818,1,2
0.442446541,0.909090909,1,2
0.999998728,0,4,2
0.999998728,0.090909091,4,2
0.975829576,0.272727273,4,2
0.815708945,0.363636364,4,2
0.655588315,0.545454545,4,2
0.628398019,0.636363636,4,2
0.504531116,0.818181818,4,2
0.474319677,0.909090909,4,2
0.719032338,0,2,2
0.622355731,0.090909091,2,2
0.531721412,0.272727273,2,2
0.504531116,0.363636364,2,2
0.438065949,0.545454545,2,2
0.398791077,0.636363636,2,2
0.362537350,0.818181818,2,2
0.999998728,0,5,2
0.912385552,0.181818182,5,2
0.957702712,0.272727273,5,2
0.758307210,0.454545455,5,2
0.734138058,0.545454545,5,2
0.495256245,0.727272727,5,2
0.468277389,0.818181818,5,2
0.467340821,1,5,2
0.999998728,0,3,2
0.999998728,0.181818182,3,2
0.999998728,0.272727273,3,2
0.999998728,0.454545455,3,2
0.999998728,0.545454545,3,2
0.854983817,0.727272727,3,2
0.628398019,0.818181818,3,2
0.549848276,1,3,2
0.999998728,0,6,2
0.891237545,0.181818182,6,2
0.999998728,0.272727273,6,2
0.809666657,0.454545455,6,2
0.716011194,0.545454545,6,2
0.507552260,0.727272727,6,2
0.549848276,0.818181818,6,2
0.444108237,1,6,2
0.389304766,0,1,3
0.365347054,0.181818182,1,3
0.368579638,0.272727273,1,3
0.338156758,0.454545455,1,3
0.317220190,0.545454545,1,3
0.319093326,0.727272727,1,3
0.335347054,0.818181818,1,3
0.303262478,1,1,3
0.613292299,0.181818182,4,3
0.425981373,0.363636364,4,3
0.384621926,0.454545455,4,3
0.356495062,0.636363636,4,3
0.350685358,0.727272727,4,3
0.338368198,0.909090909,4,3
0.344410486,1,4,3
0.444108237,0.090909091,2,3
0.389727645,0.181818182,2,3
0.356495062,0.363636364,2,3
0.353473918,0.454545455,2,3
0.356495062,0.636363636,2,3
0.314199046,0.727272727,2,3
0.253776167,0.909090909,2,3
0.574017428,0,5,3
0.477340821,0.181818182,5,3
0.483383109,0.272727273,5,3
0.407854509,0.454545455,5,3
0.386706501,0.545454545,5,3
0.389727645,0.727272727,5,3
0.365558494,0.818181818,5,3
0.326283622,1,5,3
0.664651747,0.181818182,3,3
0.510573404,0.363636364,3,3
0.483383109,0.454545455,3,3
0.395769933,0.636363636,3,3
0.362537350,0.727272727,3,3
0.352748789,0.909090909,3,3
0.352960229,1,3,3
0.561932852,0.181818182,6,3
0.586102004,0.272727273,6,3
0.489425397,0.454545455,6,3
0.425981373,0.545454545,6,3
0.350452774,0.727272727,6,3
0.335347054,0.818181818,6,3
0.306495062,1,6,3
0.513594548,0.090909091,1,4
0.407854509,0.272727273,1,4
0.389727645,0.363636364,1,4
0.338368198,0.545454545,1,4
0.353473918,0.636363636,1,4
0.368579638,0.818181818,1,4
0.362537350,0.909090909,1,4
0.501509972,0,4,4
0.441087093,0.090909091,4,4
0.404833365,0.363636364,4,4
0.377643070,0.454545455,4,4
0.347431630,0.636363636,4,4
0.330664214,0.727272727,4,4
0.329304766,0.909090909,4,4
0.309516206,1,4,4
0.531721412,0.181818182,2,4
0.504531116,0.272727273,2,4
0.438065949,0.454545455,2,4
0.398791077,0.545454545,2,4
0.362537350,0.727272727,2,4
0.314199046,0.818181818,2,4
0.329304766,1,2,4
0.28125225,0,5,4
0.273866976,0.181818182,5,4
0.256465241,0.272727273,5,4
0.227522439,0.454545455,5,4
0.235649303,0.545454545,5,4
0.207945319,0.727272727,5,4
0.197733879,0.818181818,5,4
0.242205280,0.090909091,3,4
0.240332143,0.181818182,3,4
0.262839599,0.454545455,3,4
0.255860743,0.545454545,3,4
0.233987607,0.727272727,3,4
0.213096646,0.818181818,3,4
0.234924175,1,3,4
0.592144292,0,6,4
0.416917941,0.181818182,6,4
0.422960229,0.272727273,6,4
0.407854509,0.454545455,6,4
0.332325910,0.545454545,6,4
0.329304766,0.727272727,6,4
0.365558494,0.818181818,6,4
0.329304766,1,6,4
0.583080860,0,1,5
0.311177902,0.181818182,1,5
0.277945319,0.272727273,1,5
0.335347054,0.454545455,1,5
0.229607015,0.545454545,1,5
0.290029894,0.727272727,1,5
0.302114470,0.818181818,1,5
0.314199046,1,1,5
0.558911708,0,4,5
0.501509972,0.181818182,4,5
0.534742556,0.272727273,4,5
0.489425397,0.454545455,4,5
0.443805988,0.545454545,4,5
0.389727645,0.727272727,4,5
0.395044805,0.818181818,4,5
0.365558494,1,4,5
0.422960229,0.181818182,2,5
0.347431630,0.545454545,2,5
0.332325910,0.636363636,2,5
0.296072182,0.909090909,2,5
0.332325910,1,2,5
0.419184136,0.090909091,5,5
0.422839599,0.181818182,5,5
0.378368198,0.363636364,5,5
0.371600782,0.454545455,5,5
0.348791077,0.636363636,5,5
0.353685358,0.727272727,5,5
0.323262478,0.909090909,5,5
0.295347054,1,5,5
0.471298533,0.181818182,3,5
0.444108237,0.272727273,3,5
0.383685358,0.454545455,3,5
0.350875653,0.545454545,3,5
0.341389342,0.727272727,3,5
0.341389342,0.818181818,3,5
0.296072182,1,3,5
0.495467684,0.090909091,6,5
0.410875653,0.272727273,6,5
0.371600782,0.363636364,6,5
0.323262478,0.545454545,6,5
0.302114470,0.636363636,6,5
0.350452774,0.818181818,6,5
0.308156758,0.909090909,6,5
0.320241334,0.090909091,1,1
0.268881887,0.363636364,1,1
0.250241334,0.636363636,1,1
0.253776167,0.909090909,1,1
0.365860743,0.090909091,4,1
0.326072182,0.363636364,4,1
0.293776167,0.636363636,4,1
0.244712735,0.909090909,4,1
0.296585871,0.090909091,2,1
0.274712735,0.363636364,2,1
0.280966463,0.636363636,2,1
0.229607015,0.909090909,2,1
0.317008750,0.090909091,5,1
0.314199046,0.363636364,5,1
0.305135614,0.636363636,5,1
0.296072182,0.909090909,5,1
0.338368198,0.090909091,3,1
0.302114470,0.363636364,3,1
0.332325910,0.636363636,3,1
0.302114470,0.909090909,3,1
0.290029894,0.090909091,6,1
0.259093326,0.363636364,6,1
0.288368198,0.636363636,6,1
0.287008750,1,6,1
0.999998728,0.181818182,1,2
0.788518650,0.454545455,1,2
0.586102004,0.727272727,1,2
0.439213957,1,1,2
0.999998728,0.181818182,4,2
0.725074626,0.454545455,4,2
0.534742556,0.727272727,4,2
0.450150525,1,4,2
0.513594548,0.181818182,2,2
0.480361965,0.454545455,2,2
0.371600782,0.727272727,2,2
0.999998728,0.090909091,5,2
0.712990050,0.363636364,5,2
0.628398019,0.636363636,5,2
0.483383109,0.909090909,5,2
0.999998728,0.090909091,3,2
0.999998728,0.363636364,3,2
0.851962673,0.636363636,3,2
0.592144292,0.909090909,3,2
0.993956440,0.090909091,6,2
0.779455218,0.363636364,6,2
0.655588315,0.636363636,6,2
0.444108237,0.909090909,6,2
0.374621926,0.090909091,1,3
0.344410486,0.363636364,1,3
0.315558494,0.636363636,1,3
0.303685358,0.909090909,1,3
0.492446541,0.272727273,4,3
0.374706501,0.545454545,4,3
0.356072182,0.818181818,4,3
0.534742556,0,2,3
0.395769933,0.272727273,2,3
0.353473918,0.545454545,2,3
0.280966463,0.818181818,2,3
0.480361965,0.090909091,5,3
0.432023661,0.363636364,5,3
0.271903031,0.636363636,5,3
0.302114470,0.909090909,5,3
0.549848276,0.272727273,3,3
0.416917941,0.545454545,3,3
0.380664214,0.818181818,3,3
0.752264922,0.090909091,6,3
0.522657980,0.363636364,6,3
0.404833365,0.636363636,6,3
0.311177902,0.909090909,6,3
0.471298533,0.181818182,1,4
0.380664214,0.454545455,1,4
0.308156758,0.727272727,1,4
0.359516206,1,1,4
0.423473918,0.181818182,4,4
0.359516206,0.545454545,4,4
0.333685358,0.818181818,4,4
0.513594548,0.090909091,2,4
0.480361965,0.363636364,2,4
0.371600782,0.636363636,2,4
0.326283622,0.909090909,2,4
0.271782400,0.090909091,5,4
0.241993840,0.363636364,5,4
0.227008750,0.636363636,5,4
0.263776167,0,3,4
0.223564727,0.272727273,3,4
0.253776167,0.636363636,3,4
0.209818455,0.909090909,3,4
0.462235101,0.090909091,6,4
0.413896797,0.363636364,6,4
0.347431630,0.636363636,6,4
0.335347054,0.909090909,6,4
0.444108237,0.090909091,1,5
0.296072182,0.363636364,1,5
0.356495062,0.636363636,1,5
0.320241334,0.909090909,1,5
0.540784844,0.090909091,4,5
0.506102004,0.363636364,4,5
0.401812221,0.636363636,4,5
0.369002517,0.909090909,4,5
0.362839599,0.363636364,2,5
0.320241334,0.818181818,2,5
0.446283622,0,5,5
0.391177902,0.272727273,5,5
0.378156758,0.545454545,5,5
0.319939085,0.818181818,5,5
0.519636836,0.090909091,3,5
0.398791077,0.363636364,3,5
0.347431630,0.636363636,3,5
0.323262478,0.909090909,3,5
0.444108237,0.181818182,6,5
0.353473918,0.454545455,6,5
0.362537350,0.727272727,6,5
0.314199046,1,6,5
